Production Capacity (Max (KG/Year),2025,2026,2027,2028,2029,2030,2031
Silicon Carbide Fiber,5,3.68,5.53,7.37,7.37,9.21,9.21
Silicon Carbide Powder,5,203.3,254.12,304.95,355.77,406.6,457.42
Silicon Nitride Fiber,5,16.78,16.78,22.38,22.38,27.97,27.97
UHT,5,20.52,20.52,20.52,34.2,34.2,34.2
Boron_fiber,0,0,0,4.46,4.46,5.95,8.92
B4C_Fiber,0,0,0,0,7.68,7.68,10.25
WC_Fiber,0,0,0,0,47.66,47.66,63.55
AUF,0,0,0,0,0,0,0
,,,,,,,
Price Per KG,2025,2026,2027,2028,2029,2030,2031
Silicon Carbide Fiber,8000,8000,7500,7500,7000,7000,6500
Silicon Carbide Powder,500,500,500,450,450,400,350
Silicon Nitride Fiber,18000,18000,18000,17000,16000,15000,15000
UHT,20000,20000,20000,18500,18000,17000,16000
Boron_fiber,10000,10000,10000,10000,10000,10000,10000
B4C_Fiber,10000,10000,10000,10000,10000,10000,10000
WC_Fiber,10000,10000,10000,10000,10000,10000,10000
AUF,,,15000,15000,15000,15000,15000
