2025-08-22 23:34:13,533 | INFO | src.phase1_data | Loading Phase 1 inputs from JSON: inputs.json
2025-08-22 23:34:13,534 | DEBUG | src.phase1_data | Parsed lists from JSON: markets=['US', 'EU'] sectors=4 materials=7 rows=28
2025-08-22 23:34:13,535 | DEBUG | src.phase1_data | Anchor params parsed: params=18 sectors=4
2025-08-22 23:34:13,535 | DEBUG | src.phase1_data | Other params parsed: params=9 materials=7
2025-08-22 23:34:13,536 | DEBUG | src.phase1_data | Production table rows: 38
2025-08-22 23:34:13,537 | DEBUG | src.phase1_data | Pricing table rows: 49
2025-08-22 23:34:13,537 | DEBUG | src.phase1_data | Primary map: sectors=4 rows=5
2025-08-22 23:34:13,542 | INFO | runner | Loaded scenario 'baseline' from /Users/thematrix/Desktop/Code/FFF_Growth_System_v2/scenarios/baseline.yaml
2025-08-22 23:34:13,542 | INFO | runner | Runspecs: start 2025.00, stop 2032.00, dt 0.25
2025-08-22 23:34:13,543 | INFO | runner | Inputs loaded: 4 sectors, 7 materials
2025-08-22 23:34:13,543 | INFO | runner | Anchor params shape: (18, 4)
2025-08-22 23:34:13,543 | INFO | runner | Other params shape: (9, 7)
2025-08-22 23:34:13,543 | INFO | runner | Production rows: 38, Pricing rows: 49
2025-08-22 23:34:13,543 | INFO | runner | Primary materials mapping: 4 sectors with assignments
2025-08-22 23:34:13,572 | INFO | runner | Scenario overrides applied: 0 constants, 0 lookups
2025-08-22 23:34:13,576 | INFO | runner | Starting stepwise loop: 28 steps from 2025.00 to 2032.00 (dt=0.25)
2025-08-22 23:34:13,576 | DEBUG | runner | t=2025.00 step=0 created=0 active={'Defense': 0, 'Nuclear': 0, 'Semiconductors': 0, 'Aviation': 0} in_progress={'Defense': 0, 'Nuclear': 0, 'Semiconductors': 0, 'Aviation': 0}
2025-08-22 23:34:13,578 | DEBUG | runner | t=2025.00 Gateway Silicon Carbide Fiber: Defense=0.0000, Nuclear=0.0000 | sum=0.0000
2025-08-22 23:34:13,578 | DEBUG | runner | t=2025.00 CPC_Defense=0.000000 ATAM_Defense=4.000000
2025-08-22 23:34:13,578 | DEBUG | runner | t=2025.00 CPC_Nuclear=0.000000 ATAM_Nuclear=4.000000
2025-08-22 23:34:13,578 | DEBUG | runner | t=2025.00 CPC_Semiconductors=0.000000 ATAM_Semiconductors=5.000000
2025-08-22 23:34:13,578 | DEBUG | runner | t=2025.00 CPC_Aviation=0.000000 ATAM_Aviation=4.000000
2025-08-22 23:34:13,578 | DEBUG | runner | t=2025.00 Silicon Carbide Fiber: CL=0.000000 TAM=50.000000 PC=0.000000 C=0.000000 Client_Creation=0.000000
2025-08-22 23:34:13,579 | DEBUG | runner | t=2025.00 Silicon Carbide Powder: CL=0.000000 TAM=50.000000 PC=0.000000 C=0.000000 Client_Creation=0.000000
2025-08-22 23:34:13,579 | WARNING | runner | Phase 15: capacity lookup 'max_capacity_lookup_Boron_fiber' extrapolated below range at t=2025.00 (min=2028.00)
2025-08-22 23:34:13,579 | WARNING | runner | Phase 15: capacity lookup 'max_capacity_lookup_B4C_Fiber' extrapolated below range at t=2025.00 (min=2029.00)
2025-08-22 23:34:13,579 | WARNING | runner | Phase 15: capacity lookup 'max_capacity_lookup_WC_Fiber' extrapolated below range at t=2025.00 (min=2029.00)
2025-08-22 23:34:13,579 | DEBUG | runner | t=2025.25 step=1 created=0 active={'Defense': 0, 'Nuclear': 0, 'Semiconductors': 0, 'Aviation': 0} in_progress={'Defense': 0, 'Nuclear': 0, 'Semiconductors': 0, 'Aviation': 0}
2025-08-22 23:34:13,581 | DEBUG | runner | t=2025.25 Gateway Silicon Carbide Fiber: Defense=0.0000, Nuclear=0.0000 | sum=0.0000
2025-08-22 23:34:13,581 | DEBUG | runner | t=2025.25 CPC_Defense=0.750000 ATAM_Defense=4.000000
2025-08-22 23:34:13,581 | DEBUG | runner | t=2025.25 CPC_Nuclear=0.500000 ATAM_Nuclear=4.000000
2025-08-22 23:34:13,581 | DEBUG | runner | t=2025.25 CPC_Semiconductors=0.000000 ATAM_Semiconductors=5.000000
2025-08-22 23:34:13,582 | DEBUG | runner | t=2025.25 CPC_Aviation=0.000000 ATAM_Aviation=4.000000
2025-08-22 23:34:13,582 | DEBUG | runner | t=2025.25 Silicon Carbide Fiber: CL=2.000000 TAM=50.000000 PC=1.500000 C=0.000000 Client_Creation=1.000000
2025-08-22 23:34:13,582 | DEBUG | runner | t=2025.25 Silicon Carbide Powder: CL=4.000000 TAM=50.000000 PC=3.000000 C=0.000000 Client_Creation=2.000000
2025-08-22 23:34:13,582 | DEBUG | runner | t=2025.50 step=2 created=1 active={'Defense': 0, 'Nuclear': 0, 'Semiconductors': 0, 'Aviation': 0} in_progress={'Defense': 0, 'Nuclear': 0, 'Semiconductors': 0, 'Aviation': 0}
2025-08-22 23:34:13,586 | DEBUG | runner | t=2025.50 Gateway Silicon Carbide Fiber: Defense=0.0000, Nuclear=0.0000 | sum=0.0000
2025-08-22 23:34:13,586 | DEBUG | runner | t=2025.50 CPC_Defense=1.500000 ATAM_Defense=4.000000
2025-08-22 23:34:13,586 | DEBUG | runner | t=2025.50 CPC_Nuclear=1.000000 ATAM_Nuclear=4.000000
2025-08-22 23:34:13,586 | DEBUG | runner | t=2025.50 CPC_Semiconductors=0.000000 ATAM_Semiconductors=5.000000
2025-08-22 23:34:13,586 | DEBUG | runner | t=2025.50 CPC_Aviation=0.000000 ATAM_Aviation=4.000000
2025-08-22 23:34:13,586 | DEBUG | runner | t=2025.50 Silicon Carbide Fiber: CL=4.000000 TAM=50.000000 PC=2.000000 C=1.000000 Client_Creation=2.000000
2025-08-22 23:34:13,586 | DEBUG | runner | t=2025.50 Silicon Carbide Powder: CL=8.000000 TAM=50.000000 PC=4.000000 C=2.000000 Client_Creation=4.000000
2025-08-22 23:34:13,587 | DEBUG | runner | t=2025.75 step=3 created=1 active={'Defense': 0, 'Nuclear': 0, 'Semiconductors': 0, 'Aviation': 0} in_progress={'Defense': 1, 'Nuclear': 0, 'Semiconductors': 0, 'Aviation': 0}
2025-08-22 23:34:13,590 | DEBUG | runner | t=2025.75 Gateway Silicon Carbide Fiber: Defense=0.0000, Nuclear=0.0000 | sum=0.0000
2025-08-22 23:34:13,590 | DEBUG | runner | t=2025.75 CPC_Defense=2.250000 ATAM_Defense=4.000000
