Output Stocks,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2,2026Q3,2026Q4,2027Q1,2027Q2,2027Q3,2027Q4,2028Q1,2028Q2,2028Q3,2028Q4,2029Q1,2029Q2,2029Q3,2029Q4,2030Q1,2030Q2,2030Q3,2030Q4
Revenue,0.0,0.0,0.0,0.0,13022.0,22245.120000000003,28026.09695,37367.03125,39001.18335706511,215500.16362826937,213777.58791864736,212751.58232632693,216246.11721183982,222521.96997964376,228318.19234655757,233862.63029998128,259243.0420225825,272164.46593238704,284277.87923918024,296186.168702813,299736.19852130563,304414.2057344245,308808.2241808273,312835.0557142295
Revenue Defense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178391.66143168986,174926.61673335516,173492.9032258063,176824.31653040723,160240.92479201744,162160.389845189,143411.99106899218,151781.14077244216,140882.88596501586,147336.75059341302,146590.10704091052,147757.70687166695,149446.635829808,151332.68400037856,152974.78956677584
Revenue Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7921.444952035436,5449.774002475499,6918.265221017115,6276.286764705878,6732.805041958886,6087.247415280641,6248.526137998816,5255.63156101514,5121.155313092896,4732.429969977217,4698.604307037011,4831.78877263157,5106.750174493689,5290.856615759,5458.978945805057,5355.3039614581385
Revenue Semiconductors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20811.551724129662,21502.86008522711,24190.528846153844,27085.890243902435,27843.310829481507,29928.277319308243,31686.434742084493,31943.33041981864,32897.927012050546,33155.154889689125,33342.55223224159,33459.59751091456,33505.7847884018,33480.42385751807
Revenue Aviation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21965.818875647885,24378.24665781487,48076.72260495904,63930.7275546561,87507.34764734341,92738.725809689,104548.79245549045,106339.7686209574,108483.66430189612,110767.58033906326,112880.96240779696
Revenue Silicon Carbide Fiber,0.0,0.0,0.0,0.0,8020.0,7245.0,8026.09375,8778.28125,8824.308357065103,9391.788628269365,10239.11431951752,10974.656169671243,11821.349568516182,12392.120303023623,12978.214087138753,13174.275435127858,12934.974724909605,12938.204720776253,12952.765676887548,13263.025206578182,14064.575667534518,14613.022840707232,15096.433272334509,15294.944825969264
Revenue Silicon Carbide Powder,0.0,0.0,0.0,0.0,5002.0,15000.12,20000.0032,28588.75,30176.875000000004,30970.875,31373.473599129844,32584.42615665568,32254.767643323656,33874.84967662011,34935.93512242584,36588.20951130508,37643.52330955432,37729.36089548614,37975.676310785384,38166.297813249,38277.7149645416,38309.92353705022,38262.89098134126,38136.44473604293
Revenue Silicon Nitride Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74461.25,73412.5,72363.75,77265.0,81991.25000000001,86542.5,90918.75000000001,89520.00000000001,88692.14095822426,87302.9110803073,85940.42735592039,89790.18110144165,95099.62390591943,100269.56248160763,105436.08160367697
Revenue UHT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100676.25,98752.5,96828.75,94905.0,94263.75,93861.54313699296,93181.39535354833,107994.54398811854,121654.75935790037,134896.5261712,147666.41832706542,145522.47678778786,143379.13545074762,141235.58744554393,139092.58454854033
Revenue Boron_fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11150.0,11150.0,11150.0,11150.0,12081.249999999998,13012.5,13943.750000000002,14874.999999999998
Revenue B4C_Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue WC_Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anchor Leads,1.25,1.25,1.25,1.25,2.25,2.25,1.5,1.5,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anchor Leads Defense,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anchor Leads Nuclear,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anchor Leads Semiconductors,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anchor Leads Aviation,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Active Projects,0.0,0.0,0.0,1.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Active Projects Defense,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Active Projects Nuclear,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
