Output Stocks,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2,2026Q3,2026Q4,2027Q1,2027Q2,2027Q3,2027Q4,2028Q1,2028Q2,2028Q3,2028Q4,2029Q1,2029Q2,2029Q3,2029Q4,2030Q1,2030Q2,2030Q3,2030Q4,2031Q1,2031Q2,2031Q3,2031Q4,2032Q1,2032Q2,2032Q3,2032Q4,2033Q1,2033Q2,2033Q3,2033Q4,2034Q1,2034Q2,2034Q3,2034Q4
Revenue,0.0,0.0,0.0,0.0,13022.0,22245.120000000003,28026.09695,37367.03125,39001.18335706511,114823.91362826937,115025.08791864736,115922.83232632693,121341.11721183984,222551.96813941578,229975.7316261991,234489.43107115064,248875.90226079966,261811.54778633095,273906.28160566743,285839.5742162821,288448.2110631763,292227.03202813206,295619.3889487931,298563.886292843,295889.2855194226,296968.7581630641,357918.3635617386,357890.84883035143,385783.34019298916,385723.5084984585,405692.6951624882,405662.20740538184,425641.68165998673,425613.2466410127,445593.863542458,445567.2925676985,465548.9607918982,465524.08720561117,485506.7251828733,485483.4013027148
Revenue Defense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77715.41143168985,76174.11673335516,76664.15322580631,81919.31653040722,87576.88790426396,92494.30918201395,97604.17397108309,96080.79336136248,94664.83154765135,93259.67637264454,91011.9008605095,95234.31812719228,99832.11705953917,105266.19563716368,109764.7644440794,109668.71941217539,108842.10587575533,108905.51831803715,108138.95934679327,108215.56946398731,107504.15752625909,107592.55113454929,106949.27055858375,107056.37801337843,106458.70657607784,106574.4068567703,106018.85194034791,106142.17632428175,105625.58084722268,105755.65680654265,105275.15885020701
Revenue Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7921.444952035436,5449.774002475499,6918.265221017115,6276.286764705878,6732.805041958886,6461.70825635678,6675.53199011166,6111.299398061434,5988.0262975738815,5982.051172271545,5967.274582749318,6334.231196376637,6691.072616117863,6931.07474529809,7147.762132767704,7010.968853847436,6865.389298244491,6861.776978824408,6849.586962579379,6846.649005756246,6835.489486466839,6833.173298577598,6839.177864011571,6845.074946225044,6850.866280099679,6856.553579580077,6862.138537650612,6867.622826325659,6873.008096652726,6878.2959787278705,6883.488081722881,6888.585993923671
Revenue Semiconductors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20811.551724129662,21502.86008522711,24190.528846153844,27085.890243902435,27843.310829481507,29928.277319308243,31686.434742084493,31943.33041981864,32897.927012050546,33155.154889689125,33342.55223224159,33459.59751091456,33505.7847884018,33480.42385751807,33383.25171572669,34443.94887449194,35507.926799936584,35586.66380845409,35664.19667999371,35740.53797222481,35815.70031987677,35889.696425625785,35962.53905124375,36034.24100900853,36104.815153374715,36174.274372903536,36242.631582450274,36309.89971560726,36376.0917174001,36441.22053723493
Revenue Aviation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94263.75,93622.5,92981.25,107058.7849400037,120933.95702483143,133656.13203451634,146548.9357210842,143993.8232249432,141902.22793454133,139392.51849960533,137312.62065929535,134844.5181115608,134882.32340058737,134549.4771881687,134592.89313477892,134281.37431294163,134329.86741215666,134038.35068291865,134091.42852691846,133818.68146784508,133875.88916612792,133620.76426167123,133681.68124059564,133443.1087435722,133507.34587836865,133284.32740143314,133351.5244402549
Revenue Silicon Carbide Fiber,0.0,0.0,0.0,0.0,8020.0,7245.0,8026.09375,8778.28125,8824.308357065103,9391.788628269365,10239.11431951752,10974.656169671243,11821.349568516182,12422.118462795683,13007.680825526058,13180.195067169472,12938.299893486164,12946.607458854716,12963.4056963328,13374.057086846205,14172.012029703043,14723.239642685261,15193.71143691861,15304.718841117508,15005.691615720829,15013.789740770093,15003.984612593315,15011.74582159094,15002.369168218142,14975.292368516231,14966.250000000002,14966.250000000002,14966.250000000002,14966.249999999998,14966.250000000004,14966.250000000002,14966.250000000002,14966.250000000002,14966.250000000004,14966.250000000002
Revenue Silicon Carbide Powder,0.0,0.0,0.0,0.0,5002.0,15000.12,20000.0032,28588.75,30176.875000000004,30970.875,31373.473599129844,32584.42615665568,32254.767643323656,33874.84967662011,34935.93512242584,36588.20951130508,37643.52330955432,37729.36089548614,37975.676310785384,38166.297813249,38277.7149645416,38309.92353705022,38262.89098134126,38136.44473604293,37930.79306631025,39040.22569128449,40024.25,40024.25000000001,40024.25,40024.25,40024.25000000001,40024.25,40024.25,40024.25,40024.25000000001,40024.25000000001,40024.25,40024.25,40024.25,40024.25000000001
Revenue Silicon Nitride Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74461.25,73412.5,72363.75,77265.0,81991.25,86542.5,90918.75,89520.0,89016.16310392329,87640.03166510026,86346.90251566074,90202.03157425253,95549.9232363266,100673.4179920454,105784.92401404164,105768.39394819146,105737.64109901465,105722.2115970215,105693.90708984058,105679.46817595873,105653.3532712543,105639.80921771126,105615.65884051175,105602.9259851373,105580.54358625638,105568.54853209955,105547.76184423879,105536.43996630049,105517.0974808432,105506.39168121232,105488.35970882315
Revenue UHT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94263.75,95489.6156782472,93802.2764926761,108774.07905775917,122119.41632806681,135327.167933449,147952.31680052614,145796.45249467914,143643.94561206998,141489.36853848782,139337.7987016409,137184.40688920007,137177.10163199482,137167.90775212375,137160.94572691992,137152.2528462523,137145.61285863674,137137.38594477542,137131.04856487006,137123.2556748494,137117.20305475633,137109.81501035843,137104.03072345973,137097.02082559772,137091.48972476798,137084.833501661,137079.54159389163
Revenue Boron_fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0032,20000.000064,22300.0,22300.0,22300.0,22300.0,22300.0,22300.0,22300.0,22300.0,22300.0,22300.0,22300.0,22300.0
