Output Stocks,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2,2026Q3,2026Q4,2027Q1,2027Q2,2027Q3,2027Q4,2028Q1,2028Q2,2028Q3,2028Q4,2029Q1,2029Q2,2029Q3,2029Q4,2030Q1,2030Q2,2030Q3,2030Q4,2031Q1,2031Q2,2031Q3,2031Q4
Revenue,0.0,0.0,0.0,0.0,19030.7,33515.189,41874.06746,55398.15625,57031.05697608681,133680.48002722132,134609.17674036045,136645.5215689891,142412.79245417952,243799.07111590425,251032.02493238472,255466.9005522151,269303.01417747064,282527.0969078893,295018.0395289438,307449.1377070441,310623.92826609773,315212.2389839579,319402.644458157,323069.90274884383,321026.8763257772,322742.17926749226,384251.8215492601,384226.09786610317
Revenue Defense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78745.8958850583,77002.60175336171,77882.60080645143,83160.46760518248,89091.63716643724,94136.18757705229,99480.7842085801,97955.30575032318,96417.57660505796,94893.97046580567,92525.78225005294,96717.70618287253,101399.14013857202,106918.9628515554,111500.83505941472,111403.71509170673,110573.81081561574,110636.32924849626,109866.7532512664
Revenue Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10561.926602713913,7175.535769926074,8993.74478732225,8054.568014705877,8528.21971981459,8214.035919097601,8517.058056349359,7826.751860675169,7698.890954023563,7584.386307701423,7459.093228436647,7804.677724106928,8124.873891000261,8443.30923518131,8736.153717827194,8598.358028303459,8449.709905531681,8445.263973937734,8430.260877020775,8426.644930161534
Revenue Semiconductors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31764.99999998738,33126.027698863385,37629.71153846153,41381.22120596206,41764.96624422226,44061.07494231492,45769.294627455376,46545.99575459288,48379.304429486096,49230.381502871736,50013.82834836239,50729.06719396724,51375.53667554942,51952.38184787287,52459.3955532848,54126.20537420162,55798.170685614634,55921.900270427854
Revenue Aviation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94263.75,93622.5,92981.25,107058.7849400037,120933.95702483143,133656.13203451634,146548.9357210842,143993.8232249432,141902.22793454133,139392.51849960533,137312.62065929535,134844.5181115608,134882.32340058737,134549.4771881687,134592.89313477892
Revenue Silicon Carbide Fiber,0.0,0.0,0.0,0.0,11027.5,9890.0,10874.0625,11800.312500000002,11765.744476086804,12365.85502722133,13310.848615372774,14084.14208441143,14973.709453453832,15790.828554401292,16596.006570498765,16879.898945673183,16634.957005910783,16414.448742476514,16204.257120416,16478.74891057836,17208.871750353694,17935.582837452956,18570.091756233858,18769.93820137053,18468.54352704102,18478.510450178575,18466.44260011485,18475.994857342695
Revenue Silicon Carbide Powder,0.0,0.0,0.0,0.0,8003.2,23625.189000000002,31000.00496,43597.84375,45265.31250000001,46853.375,47885.82812498766,50197.62948457767,50174.08300072569,51753.24256150296,52403.90268363876,53865.97511386582,54373.978113800695,54977.06873342267,55846.58280997851,56671.169480278826,57416.572446812395,58082.7872981084,58669.76617138993,59177.24183179076,59605.53196134468,61348.92608630419,62895.25,62895.25000000001
Revenue Silicon Nitride Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74461.25,73412.5,72363.75,77265.0,81991.25,86542.5,90918.75,89520.0,89016.16310392329,87640.03166510026,86346.90251566074,90202.03157425253,95549.9232363266,100673.4179920454,105784.92401404164,105768.39394819146,105737.64109901465,105722.2115970215,105693.90708984058
Revenue UHT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94263.75,95489.6156782472,93802.2764926761,108774.07905775917,122119.41632806681,135327.167933449,147952.31680052614,145796.45249467914,143643.94561206998,141489.36853848782,139337.7987016409,137184.40688920007,137177.10163199482,137167.90775212375,137160.94572691992
Revenue Boron_fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0032,20000.000064
