Output Stocks,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2,2026Q3,2026Q4,2027Q1,2027Q2,2027Q3,2027Q4,2028Q1,2028Q2,2028Q3,2028Q4,2029Q1,2029Q2,2029Q3,2029Q4
Revenue,10625.0,10625.0,10625.0,16161.875,47188.201576483516,72809.28635036254,96845.56571523173,119015.82400273974,162782.63616971782,175526.06893746418,187338.96873892212,199160.67732627646,210126.7493084064,210747.34074583204,211463.22822602416,211059.9439817599,210855.0375573974,229922.00547629214,248323.5498860658,266785.2672829235
Revenue Defense,10000.0,10000.0,10000.0,9340.0,8680.0,7857.650493336208,7032.5444598731865,7756.141083623567,29028.188228298077,42569.94978155602,54613.28993527639,66565.20288649884,78611.07584927065,77281.70470383248,76553.61581454272,75370.83616887772,74178.35359609383,78635.63427690687,82908.38101461667,87455.32737619507
Revenue Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1932.2814414178233,2004.5280886032745,3184.2717233942217,4125.903832302037,4544.48388828907,5466.289414002665,5716.141563144213,5611.708584215433,5499.7152959362475,5494.674543414791,5482.205150205149,5819.742314287603
Revenue Semiconductors,625.0,625.0,625.0,6821.874999999999,13018.749999999998,18773.188232012362,24262.557273213308,25482.951995563846,26704.74010838387,27611.799663627604,27922.555148187766,28652.180330329018,28842.55219168908,29999.4106934889,30948.383613541282,32094.02735535919,33031.11933531263,33219.79662436783,33541.18333045582,33792.13667976082
Revenue Aviation,0.0,0.0,0.0,0.0,25000.0,44399.99999999999,63800.0,83200.0,102600.0,100676.25,98752.5,96828.75,94905.0,94263.75,93622.5,92981.25,92340.0,105920.95443626733,119354.4450984249,131989.46412127602
Revenue Silicon Carbide Fiber,10000.0,10000.0,10000.0,9340.0,8718.373793048033,7958.630840334519,7178.151514930032,7988.354200693657,8682.98933023874,9573.925645161708,10411.903292696989,11289.776649412412,12133.899146405436,12798.962873575547,13378.018899930124,13166.011588443012,12915.834199308216,12933.333372418718,12939.785457367487,13765.311967017691
Revenue Silicon Carbide Powder,625.0,625.0,625.0,6821.874999999999,13469.827783435485,20450.655510028035,25867.414200301704,27827.469802046082,28999.64683947907,30019.955792302466,30530.815446225144,31378.713176864065,31772.850162000974,33418.37787225649,34655.82985223168,36301.734122530084,37535.1856214317,37682.088503581406,37952.70028788819,38144.3305395421
Revenue Silicon Nitride Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22500.0,35255.9375,47643.75,59663.43749999999,71315.0,70266.25,69217.5,68168.75,67120.0,72494.55139253671,76788.22693265165,81640.86558832874
Revenue UHT,0.0,0.0,0.0,0.0,25000.0,44399.99999999999,63800.0,83200.0,102600.0,100676.25,98752.5,96828.75,94905.0,94263.75,94211.87947386235,93423.44827078679,93284.01773665748,106812.0322077553,120642.83720815845,133234.75918803498
Revenue Boron_fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue B4C_Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue WC_Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anchor Leads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anchor Leads Defense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anchor Leads Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anchor Leads Semiconductors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
