Output Stocks,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2,2026Q3,2026Q4,2027Q1,2027Q2,2027Q3,2027Q4,2028Q1,2028Q2,2028Q3,2028Q4,2029Q1,2029Q2,2029Q3,2029Q4,2030Q1,2030Q2,2030Q3,2030Q4
Revenue,0.0,0.0,0.0,0.0,13022.0,22245.120000000003,28026.09695,37367.03125,39001.18335706511,114823.91362826937,115025.08791864736,115922.83232632693,121341.11721183984,222551.96813941578,229975.7316261991,234489.43107115064,248875.90226079966,261811.54778633095,273906.28160566743,285839.5742162821,288448.2110631763,292227.03202813206,295619.3889487931,298563.886292843
Revenue Defense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77715.41143168985,76174.11673335516,76664.15322580631,81919.31653040722,87576.88790426396,92494.30918201395,97604.17397108309,96080.79336136248,94664.83154765135,93259.67637264454,91011.9008605095,95234.31812719228,99832.11705953917,105266.19563716368,109764.7644440794
Revenue Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7921.444952035436,5449.774002475499,6918.265221017115,6276.286764705878,6732.805041958886,6461.70825635678,6675.53199011166,6111.299398061434,5988.0262975738815,5982.051172271545,5967.274582749318,6334.231196376637,6691.072616117863,6931.07474529809,7147.762132767704,7010.968853847436
Revenue Semiconductors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20811.551724129662,21502.86008522711,24190.528846153844,27085.890243902435,27843.310829481507,29928.277319308243,31686.434742084493,31943.33041981864,32897.927012050546,33155.154889689125,33342.55223224159,33459.59751091456,33505.7847884018,33480.42385751807
Revenue Aviation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94263.75,93622.5,92981.25,107058.7849400037,120933.95702483143,133656.13203451634,146548.9357210842,143993.8232249432,141902.22793454133,139392.51849960533,137312.62065929535
Revenue Silicon Carbide Fiber,0.0,0.0,0.0,0.0,8020.0,7245.0,8026.09375,8778.28125,8824.308357065103,9391.788628269365,10239.11431951752,10974.656169671243,11821.349568516182,12422.118462795683,13007.680825526058,13180.195067169472,12938.299893486164,12946.607458854716,12963.4056963328,13374.057086846205,14172.012029703043,14723.239642685261,15193.71143691861,15304.718841117508
Revenue Silicon Carbide Powder,0.0,0.0,0.0,0.0,5002.0,15000.12,20000.0032,28588.75,30176.875000000004,30970.875,31373.473599129844,32584.42615665568,32254.767643323656,33874.84967662011,34935.93512242584,36588.20951130508,37643.52330955432,37729.36089548614,37975.676310785384,38166.297813249,38277.7149645416,38309.92353705022,38262.89098134126,38136.44473604293
Revenue Silicon Nitride Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74461.25,73412.5,72363.75,77265.0,81991.25,86542.5,90918.75,89520.0,89016.16310392329,87640.03166510026,86346.90251566074,90202.03157425253,95549.9232363266,100673.4179920454,105784.92401404164
Revenue UHT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94263.75,95489.6156782472,93802.2764926761,108774.07905775917,122119.41632806681,135327.167933449,147952.31680052614,145796.45249467914,143643.94561206998,141489.36853848782,139337.7987016409
Revenue Boron_fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue B4C_Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue WC_Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue Defense Silicon Carbide Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3254.1614316898504,2761.6167333551616,4300.403225806315,4654.316530407218,5585.637904263963,5951.809182013958,6685.4239710830825,6560.793361362477,6543.581547651345,6537.176372644536,6521.335216494835,6922.477593174471,7182.189112233926,7437.452464762783,7667.645217731003
Revenue Defense Silicon Nitride Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74461.25,73412.5,72363.75,77265.0,81991.25,86542.5,90918.75,89520.0,88121.25,86722.5,84490.56564401467,88311.84053401781,92649.92794730524,97828.7431724009,102097.1192263484
Revenue Nuclear Silicon Carbide Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7921.444952035436,5449.774002475499,6918.265221017115,6276.286764705878,6732.805041958886,6461.70825635678,6675.53199011166,6111.299398061434,5988.0262975738815,5982.051172271545,5967.274582749318,6334.231196376637,6691.072616117863,6931.07474529809,7147.762132767704,7010.968853847436
Revenue Semiconductors Silicon Carbide Powder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20811.551724129662,21502.86008522711,24190.528846153844,27085.890243902435,27843.310829481507,29928.277319308243,31686.434742084493,31943.33041981864,32897.927012050546,33155.154889689125,33342.55223224159,33459.59751091456,33505.7847884018,33480.42385751807
Revenue Aviation UHT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94263.75,93622.5,92981.25,107058.7849400037,120933.95702483143,133656.13203451634,146548.9357210842,143993.8232249432,141902.22793454133,139392.51849960533,137312.62065929535
Anchor Leads,1.25,1.25,1.25,1.25,2.25,2.25,1.5,1.5,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anchor Leads Defense,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anchor Leads Nuclear,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anchor Leads Semiconductors,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anchor Leads Aviation,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Active Projects,0.0,0.0,0.0,1.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Active Projects Defense,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Active Projects Nuclear,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Active Projects Semiconductors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Active Projects Aviation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anchor Clients,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,5.0,8.0,8.0,9.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
Anchor Clients Defense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Anchor Clients Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Anchor Clients Semiconductors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Anchor Clients Aviation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Anchor Clients Defense Silicon Carbide Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anchor Clients Defense Silicon Nitride Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anchor Clients Nuclear Silicon Carbide Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anchor Clients Semiconductors Silicon Carbide Powder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anchor Clients Aviation UHT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Leads,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.5,6.5,6.5,6.5,7.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,5.0,5.0,5.0,5.0
Other Clients,0.0,0.0,3.0,9.0,12.0,18.0,21.0,27.0,30.0,36.0,39.0,45.0,49.0,55.0,59.0,63.0,65.0,69.0,71.0,75.0,77.0,81.0,83.0,87.0
Other Clients Silicon Carbide Fiber,0.0,0.0,1.0,3.0,4.0,6.0,7.0,9.0,10.0,12.0,13.0,15.0,16.0,18.0,19.0,21.0,22.0,24.0,25.0,27.0,28.0,30.0,31.0,33.0
Other Clients Silicon Carbide Powder,0.0,0.0,2.0,6.0,8.0,12.0,14.0,18.0,20.0,24.0,26.0,30.0,32.0,36.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
Other Clients Silicon Nitride Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,6.0,6.0,8.0,8.0,10.0
Other Clients UHT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0
Other Clients Boron_fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Clients B4C_Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Clients WC_Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Order Basket,0.0,0.0,0.0,13.005199999999999,39.000312,52.00000831999999,78.00000024959999,91.000000005824,317.0000000001498,660.0000000000033,1101.0,1907.0,2198.16,3266.72320032,3431.8576640064,4106.9748172802565,4413.094393625605,4709.716201498112,4992.870523960075,5174.667934375276,5288.301293061514,5392.887318922707,5510.4650653011595,5619.074366607183
Order Basket Silicon Carbide Fiber,0.0,0.0,0.0,3.0012,9.000072,12.000001919999999,18.000000057599998,21.000000001344,227.00000000003456,410.00000000000074,608.5,1097.0,1169.6599999999999,1634.6032,1691.835264,1851.64196928,1893.5348086656002,1933.145504838912,1976.4884149356903,2017.5781832344042,2062.429746899092,2105.0583418370743,2151.479508673816,2195.709098847292
Order Basket Silicon Carbide Powder,0.0,0.0,0.0,10.004,30.00024,40.0000064,60.000000192,70.00000000448,90.00000000011521,100.00000000000256,320.00000000000006,360.0,550.0,768.0,826.16,1014.4832000000001,1230.972864,1277.79232128,1464.9481677056,1490.447131059712,1516.4560736809062,1542.9851951545245,1570.0448990576149,1597.6457970387673
Order Basket Silicon Nitride Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,172.5,450.0,478.5,762.12,796.8624,936.849648,965.5867209600001,984.6983753792001,1014.192341318784,1034.0761880811597,1064.3577118415158,1085.0448660783077,1116.145763399873,1137.6686786678706
Order Basket UHT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.00000032,117.00000000639999,304.000000000256,323.0000000000051,514.0800000000002,537.2416000000001,632.566432,645.05776064,659.7989158528001,672.7948941698561,688.0507920532532
Order Basket Boron_fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Order Basket B4C_Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
